id,c0
295680,It's Jerky
296107,Summers Massage
296187,Cornerstone Bank
296204,Goodtimes Pizza D/S
296403,Afterglow Massage
296457,Angelo's European Specialty
296611,Viking Skate Country
296918,Riverview Golf & Country Club -Kitchen
296940,Tangle Blue
296977,Riverview Golf & Country Club - Pro Shop
296978,Riverview Golf & Country Club - F&B/Special Events
296979,Riverview Golf & Country Club - Locker Room
297114,LOGE Mt Shasta
297363,Taco Cotija
297617,SC- Corp Yard Fall River
297833,Balance Yoga Center
297844,Sierra Pacific D/S
297870,Valero Hilltop
297871,Valero Eureka Way
297935,L and D Gasoline
297937,Little Country Store
298036,Redding Sports Therapy
298037,AV - Sheraton Club Lounge
298364,In-N-Out Burger # 348
298434,Larkspur Optometry -DS
298782,Big Time Pest Control
298794,Braun Equipment
298852,Portside Fish & Chips
298952,Mt Shasta Ski Park
298953,Mt Shasta Ski Park D/S
299003,New York Saloon
299212,Final Draft Brewing
299322,Mountain Mike's Pizza
299393,EZ Auto Care
299451,Cascade Eye Care
299508,NORM'S
299552,Egg Roll King
299765,Wayside Inn Market
299791,Trendy's
299924,Redding Rancheria Dental
299926,Redding Rancheria Fitness
299928,Redding Rancheria
299929,Redding Rancheria Senior Nutrition
299937,Redding Rancheria Tribal Health
299939,Redding Rancheria Medical
299944,Redding Rancheria Head Start
299945,Churn Creek Health Care Mats
299946,Churn Creek Health Care
300073,JR Mexican Meat Market
300102,Shasta Mosquito & Vector Control District
300115,Market Street
300441,KFC-Redding  # C750128
300457,Save Mart # 612 Meat
300459,Save Mart # 612 Grocery
300464,Save Mart # 612 Produce
300466,Save Mart # 612 Bakery
300467,Save Mart # 612 Deli
300480,Trinity River Lumber Mats
300482,Trinity River Lumber Maint. Shop
300580,Redding Rancheria D/S
300732,Northern Trailer
300733,Gold Street D/S
300757,SRMC - Prime EVS
300828,SC- Mental Health
300944,Palomino Room - Ramone's Kitchen
300986,Palomino Room - Bar
300994,SC- Mental Heath DS
301009,Bureau of Reclamation - Keswick
301010,Bureau of Reclamation - Shasta
301105,Elliott Acupuncture
301227,Northstate Dental
301285,Julio's Garage
301422,Mill Creek Resort - Seasonal
301488,Save Mart #612 - Restaurant
301567,Trinity County Brewing Co.
301569,Rod's Radiator
301741,Sublime Cake Design
301767,Trinity Alps Golf Course
301827,Riverview Golf & Country Club - Mats
301994,California Highway Patrol
302019,Tropics
302083,Alvarez Auto Care
302099,Paragon Medical Radiation Oncology Redding
303253,Tractor Supply #1905
303335,Holiday Inn/Spike USA LLC
303336,Holiday Inn D/S/Spike USA LLC
303338,Holiday Inn Banquets/Spike USA LLC
303441,California Dance Company
303672,Americana Modern Hotel
303839,D & H Automotive
304262,Valero/C-H FUEL
304339,Susanville Grocery Outlet
304550,Dr. Lamb / Huang
304551,Dr. Lamb
304600,The Cabin Saloon
305194,Flaco's Tacos
305240,Goodtimes Pizza
305455,Skye Beauty Co.
305647,Whiskey Bar
305751,Pioneer Pizza
305867,Main St. Deli
306046,Empower Tehama - Hickory
306047,Empower Tehama - Sale Lane
306048,Empower Tehama - Walnut St
306180,Chick-Fil-A
306381,Absolute Lash and Skin
306462,Lumberjacks Restaurant
306464,Lumberjacks Restaurant
306489,Jeff's California Cattle Co.
307249,Karmas House of Spirits
307256,Cascade Comfort
307436,California Maternal Fetal Medicine
307691,Hilton Garden Inn
307872,Mountain Mike's Pizza
308043,Main St Lube
308074,Northern Valley Catholic Social Services
308464,Burger Shack
308514,Sage @ Simpson Univ - Summer Hold
308552,Fire Water Supply (BD)
308596,Redding School of The Arts
308967,Shell Eureka Way
308981,PGE Fleet - Redding
308982,PGE Fleet - Red Bluff
309166,Mulligans Bar & Grill
309228,Taste and See Kitchen
309229,Taste and See #2
309354,Lab 24
309382,Roots Farm Educational Foundation (BD)
309425,Evergreen Coffee
309736,Shasta - Trinity Rop
309832,Beaton Plumbing
310130,Epic Orthopaedics
310145,Northwest Holdings - Black Diamond Lounge
310840,Best Western Anderson Inn
310980,Luigi's Pizza
310981,Northern Roots Indoor Garden
311095,When Pie Meets Bread
311098,Super Burrito's Mexican Food
311253,Lake Shasta Lodge
311254,RSM
311302,Redding Rancheria Trinity Mats
311303,Redding Rancheria Trinity Health
311363,Francisco's Tacos
311386,Quail Crest 1 @ Oakdale
311387,Quail Crest 1 @ Oakdale D/S
311388,Quail Crest 2 dba Sierra Oaks of Redding
311389,Quail Crest 2 dba Sierra Oaks of Redding D/S
311566,Fat Daddy's BBQ
311673,Luna Restaurant
311744,Safeway - 1218
311916,32 Below
311996,Raw
311997,Raw D/S
312151,Cedars Lodge Motel
312243,DH Medical Group North State
312244,DH Red Bluff Care Center
312245,DH Red Bluff Wound Care
312246,DH Medical Foundation - 2624 Edith Ave
312248,DH Mercy Medical Foundation
312249,DH Mercy Outpatient Oncology
312250,DH Nuclear Medicince Clinic
312252,DH Medical Foundation Redding
312258,Redding Heating & Air
313242,Addendum
313248,DHMF - HS - ENT - 106
313249,DHMF - NS - Endocrinology 104
313288,Cornerstone Community Bank
313350,DH - Internal Medicine
313443,Paradise Tires and Wheel
313697,Absolute Machine
313738,AV - Branch House River Front Bistro
313799,Mount Shasta 76
313829,Shasta College Food Services
313922,AV - Branch House DS
313946,Mittry Construction
314090,Mt Shasta High School
314092,Mt Shasta High School - DS
314094,Cornerstone Bank
314154,Wing Spot
314174,Mongoose Trucking
314385,Nutrishop
314386,Subarama
314459,Crafco
314701,Mike's Heating and Air
314859,Shasta College - Trinity Campus
314951,SRMC - Anderson
314964,Tehama Wellness & Spa
315031,Boulder Creek RV Resort
315175,Fire House Grill
315176,Integrity Heating & Air
315177,Red Bluff Elks Lodge
315589,Body & Skin Care
315612,Vintage Glamour
315654,Los Gordos
315785,Casino Poker Club
315787,Breslin Occupational Therapy
315825,Raliberto's - Weaverville
315916,Cheesecakes Unlimited
315918,PG&E Microsite Sunriver
316033,White Rock Trucking Inc.
316069,Tierra Oaks Golf Club
316073,Lassen Forest Products
316481,Ben's Truck Repair
316484,"Redding Family Medical Group, Inc."
316737,Huffs @ Bridge Bay
316738,Renstrom Trucking Inc.
317006,Skin Solutions by Renew
317008,Voorwood
317097,Gateway Unified School District
317098,Buckeye School of Arts
317099,Mountain Lakes High School
317102,Central Valley High School
317103,Shasta Lake Middle School
317104,Grand Oaks Elementary
317105,Grand Oaks Elementary - Cafeteria
317106,Shasta Lake Middle School - Cafeteria
317107,Central Valley High School - Cafeteria
317108,Buckeye School of Arts - Cafeteria
317168,Freightliner Northwest
317281,Cedar Tree Restaurant
317298,Automotive Service Center
317491,Boba Tea & Coffee - 2
317516,Rental Guys
317564,Pizza Factory
317649,Clear View Auto Glass
317650,Win River Mini Mart
317707,Sourdough Bread Company
317878,Tune it Up
317904,T&A Restaurant & Lounge
318143,Courthouse Cafe
318289,Wrenchers
318321,SETI Institute
318323,Siskiyou Union High School Culinary
318368,Dan Palmer Trucking
318444,Court Street Eats
318468,The Shack
318787,Orchard Nutrition
318788,Centerville Community Services District
318794,Community Behavioral Health
318811,Churn Creek Wellness & Dental
318905,Thrive Automotive
319122,The Rusty Nail
319123,New Clairvaux Tasting Room
319150,HM Development Group (BD)
319189,Tri Counties Bank
319336,Pourboys Tapyard
319338,Pete's Restaurant & Brewhouse
319341,Pro Trans
319407,City of Red Bluff  - City Hall
319408,City of Red Bluff - Police
319410,City of Red Bluff - Corp Yard
319411,Safari RV
319476,Shasta Lake Electric
319580,IROC Inc - Shasta Cancer Care Alliance
319581,IROC Inc - Shasta Cancer Care Alliance
319665,Rocha's Advanced Automotive
319708,Hermanos
319710,Singh Mobile Services
319766,S&S Mobile Pressure Washing
319797,Chic Salon
319868,Bings Steak & Sushi Bar
319999,Taqueria Cotija
320040,Weed High School
320041,Robin Montgomery - Massage Therapy
320171,Polished Nail Salon
320172,Body Work Innovations
320179,Sierra Cascade Office
320180,Sierra Cascade Nursery
320233,Club Tucker
320234,Mount Shasta High School - Culinary
320398,Capturing the Essence Salt Cave
320399,E's Locker Room
320605,Paratransit Services
320632,Redding Adventure Hub
320635,SEMSA
320726,Underhood Automotive Inc
320741,University Market
320742,Peery Chiropractic
320825,Susanville Supermarket - Bakery Dept.
320826,Susanville Supermarket - Grocery
320827,Susanville Supermarket - Meat Dept.
320843,Evergreen Roaster
320844,Redding Express Stop
320866,Main Street Deli
320902,Cinders and Taste & See
320947,San Francisco Deli
321012,Mister Peri Peri's Grill
321020,JJ's Cafe
321142,Hill Country Health & Wellness Center
321143,Anthony's Mediterranean Bar & Grill
321167,Rental Guys
321234,Roxie's Deli & BBQ
321235,Wing Stop
321459,Poinsett's Machine Shop
321515,Redding Rancheria Center for Advanced Care
321728,DH Wound Care - Mercy Medical Center
321836,Miller Collision Center
321845,Kopper Kettle
322069,Bettendorf Trucking
322116,Susanville Transmission
322191,Smokin Joe's BBQ
322234,MJB Welding Supply
322236,Lori Barclay - Special Events
322340,California Soccer Park
322342,Paradiso
322343,The Spot Barber Lounge
322380,Stelters HVAC Service
322600,Dianne's Pizza & More
322720,Chick-fil-A at I-5 & Bonnyview
322942,Woody's Brewing Company
323100,Travel Inn
323101,Stardust Motel
323103,New Life Discovery Project
323104,Shasta Lodge
323105,Lassen College - Maintenance Shop
323106,Lassen College Food Service
323107,Lassen College - Automotive
323109,Lassen College - Custodial
323303,Side Iron BBQ
323309,Jersey Mike's Subs
323310,Jersey Mike's Subs DS
323371,Thrive Automotive
323470,DH Lassen Medical Clinic - Cottonwood
323471,DH Lassen Medical Clinic - Red Bluff
323543,Prestige Urgent Care
