id,RouteNumber,ServiceDay,item_id,description,total_quantity
248,12,Monday,31795100,Sh-Motosp Sil/Blk-Ss,11
249,12,Monday,32949900,SHT- DICKIE SHIRT SS,55
250,12,Monday,40304234,SLIP-P-42X36,250
251,12,Monday,40766604,Sheet-72-Single-D/C,15
252,12,Monday,40766615,SHEET-SNGL-DC-66X115,329
253,12,Monday,41082030,BATH MAT-WHITE,20
254,12,Monday,41340000,Towel-Bath-Jumbo,55
255,12,Monday,41669525,TWL- BEAUTY STM-BLK,200
256,12,Monday,41820000,WASH CLOTH,10
257,12,Monday,44320000,LAUNDRY BAG-PVC-LG,2
258,12,Monday,52366161,Cloth-P-Burgndy61x61,25
259,12,Monday,52625212,Cloth-P-Ivory-54x120,5
260,12,Monday,52626161,Cloth-P-Ivory-61x61 ,15
261,12,Monday,52628585,Cloth-P-Ivory-85x85,5
262,12,Monday,53505212,Cloth-P-White-54x120,15
263,12,Monday,53505252,Cloth-P-White-52x52 ,10
264,12,Monday,53508585,Cloth-P-White-85x85 ,20
265,12,Monday,56102020,NAPKIN-BLK SPUN POLY,6900
266,12,Monday,56105212,Cl-Caravel-Blk-52120,30
267,12,Monday,56105252,CL-CARAVEL-BLK-52X52,145
268,12,Monday,56105272,TC-SIG-BLACK 52X72,45
269,12,Monday,56252020,Napkin-Caravl-Forgrn,1400
270,12,Monday,56282020,Napkin-Caravel-Gold,150
271,12,Monday,56292020,NAPKIN-CARAVEL-GRAY,300
272,12,Monday,56392020,Napkin-Caravel-Ivory,175
273,12,Monday,56395252,Cl-Carvl-Ivory-52x52,10
274,12,Monday,56432020,Napkin-Caravl-Maroon,4600
275,12,Monday,56436161,Cl-Crvl-Maroon-61x61,10
276,12,Monday,56502020,Napkin-Caravel-Navy,400
277,12,Monday,56652020,Napkin-Caravel-Red,600
278,12,Monday,56905252,CL-WHT-SPUN 52X52,340
279,12,Monday,56951822,NAP-BISTRO-BLK/STR,2000
280,12,Monday,70622400,Dust Mop-24 Untreate,6
281,12,Monday,70623600,Dust Mop-36 Untreate,5
282,12,Monday,70626000,Dust Mop-60 Untreate,2
283,12,Monday,70701800,"MICRO F MOP-18""",7
284,12,Monday,70752400,Wet Mop-Blue-Large  ,20
285,12,Monday,74000304,Mat-Graphic-3x4,4
286,12,Monday,74000310,Mat-Graphic-3x10    ,1
287,12,Monday,74000406,Mat-Graphic-4x6,14
288,12,Monday,76000000,Mat-Custom-Logo     ,4
289,12,Monday,76060304,MAT-NY/RB-CH RED-3X4,4
290,12,Monday,76065304,MAT-SUC BACK 3X4 RED,2
291,12,Monday,76065406,MAT-4X6 MEGAHOLD RED,1
292,12,Monday,76080304,MAT-NY/RB-OX GRY-3X4,23
293,12,Monday,76080310,MAT-NY/RB-OX GRY3X10,19
294,12,Monday,76080406,MAT-NY/RB-OX GRY-4X6,37
295,12,Monday,80320000,CENTER PULL 600' WHT,3
296,12,Monday,80400000,JUMBO BTH TISS 12/CS,21
297,12,Monday,80580000,R3 ECO REFL MANGO CS,1
298,12,Monday,81214300,FOAMFRESH GRNSEAL 1K,1
299,12,Monday,82690000,FM-ANTIBAC FOAM SOAP,3
300,12,Monday,83300000,F-Matic-Air Frsh Dsp,4
301,12,Monday,87392023,MOP-WET-TUBE-MF-BL-L,8
302,12,Monday,87392055,CLTH-MF-AP-GREEN-12,25
303,12,Monday,87392121,MOP-WET-MF-FL-RD-24I,5
304,12,Monday,87399023,MOP-WET-TUBE-MF-BL-L,99
305,12,Monday,87399050,CLTH-MF-AP-GRN-16,275
306,12,Monday,94030000,Hosp-Blkt-Flnhb-Sand,10
307,12,Monday,94066690,Blanket-Thermal-Wht,5
308,12,Monday,94890000,Cape-Mammography,50
309,12,Monday,95150000,Gown-Patient-Print,95
310,12,Monday,95170000,Plus Gown,10
311,12,Monday,97210406,Logo Mat         Cog,4
312,12,Monday,97220000,Shirts           Cog,126
313,12,Monday,97680000,Blouse           Cog,154
314,12,Monday,97739900,Apron-In&Out     Cog,120
315,33,Monday,440000,Service Charge      ,1
316,33,Monday,1220000,Apron-Bib-Dc-Black,20
317,33,Monday,1500000,APRON-BIB-SPUN-WHITE,50
318,33,Monday,1640000,APRON-BIB-POLY-BLACK,829
319,33,Monday,1900000,APRON-BIB-POLY-RED,40
320,33,Monday,11100000,GRILL-PAD,191
321,33,Monday,11281619,TOWEL-BARMOP-BLSTR,4862
322,33,Monday,11300250,Towel-Bar-Mop-Bagged,600
323,33,Monday,11421836,TOWEL-DISH,15
324,33,Monday,11601837,TOWEL-FACE,1920
325,33,Monday,11720000,Towel-Kitchen,1605
326,33,Monday,11920000,Towel-Steam-Bar,360
327,33,Monday,12221818,Towel-Shop-Blue,200
328,33,Monday,12240000,Towel-Shop-Dyed,475
329,33,Monday,12940000,COVER-FENDER-AUTO,3
330,33,Monday,14200002,Twl-Micro-Grn-15x16 ,175
331,33,Monday,14200003,TWL-MICRO-YLW-15X16,125
332,33,Monday,40304234,SLIP-P-42X36,595
333,33,Monday,40766615,SHEET-SNGL-DC-66X115,260
334,33,Monday,40789015,SHEET-90-QUEEN-D/C,40
335,33,Monday,40790815,SHEET-108-KING-D/C,70
336,33,Monday,41320000,Towel-Bath-Beige Xlg,20
337,33,Monday,41340000,Towel-Bath-Jumbo,20
338,33,Monday,41640000,Towel-Hand-Beige,25
339,33,Monday,41669525,TWL- BEAUTY STM-BLK,435
340,33,Monday,41720000,Towel-School-Yellow,10
341,33,Monday,41820000,WASH CLOTH,50
342,33,Monday,44320000,LAUNDRY BAG-PVC-LG,11
343,33,Monday,56102020,NAPKIN-BLK SPUN POLY,400
344,33,Monday,56105212,Cl-Caravel-Blk-52120,20
345,33,Monday,56105252,CL-CARAVEL-BLK-52X52,25
346,33,Monday,56105272,TC-SIG-BLACK 52X72,45
347,33,Monday,56108585,Cl-Caravel-Blk-85x85,30
348,33,Monday,56652020,Napkin-Caravel-Red,490
349,33,Monday,56752020,Napkin-Caravl-Sndlwd,700
350,33,Monday,70423600,DUST MOP-LARGE,1
351,33,Monday,70622400,Dust Mop-24 Untreate,28
352,33,Monday,70623600,Dust Mop-36 Untreate,19
353,33,Monday,70626000,Dust Mop-60 Untreate,8
354,33,Monday,70701800,"MICRO F MOP-18""",107
355,33,Monday,70742400,WET MOP-LARGE,3
356,33,Monday,74000304,Mat-Graphic-3x4,3
357,33,Monday,74000310,Mat-Graphic-3x10    ,3
358,33,Monday,74000406,Mat-Graphic-4x6,16
359,33,Monday,74000408,Mat-Graphic-4x8     ,1
360,33,Monday,76000000,Mat-Custom-Logo     ,2
361,33,Monday,76070304,MAT-NY/RB-HNYCMB-3X4,1
362,33,Monday,76080304,MAT-NY/RB-OX GRY-3X4,105
363,33,Monday,76080310,MAT-NY/RB-OX GRY3X10,41
364,33,Monday,76080406,MAT-NY/RB-OX GRY-4X6,79
365,33,Monday,76120304,MAT-COFFEE,2
366,33,Monday,76280310,MAT-OXF GRY-MHL-3X10,11
367,33,Monday,76280406,MAT-OXF GRY-MHL-4X6,9
